id,name,keywords
16,Personal Loans,"['debt consolidation', 'installment', 'personal loan', 'student loan', 'unsecured', 'borrow money', 'payoff', 'pay off', 'payoff debt', 'payoff credit card', 'line of credit', 'short term loan', 'signature loan']"
44,Death of a Relative,"['died', 'death', 'funeral', 'payable on death', 'death certificate', 'passed away', 'passed on', 'estate', 'beneficiary', 'probate']"
11,Commercial Banking,"['business checking', 'commercial', 'business account', 'business online banking', 'non-profit', 'business banking', 'business banker', 'business savings', 'business money market', 'night drop', 'change order', 'venture', 'new business', 'start a business', 'starting a business', 'started a business', 'new company', 'start a company', 'starting a company', 'started a company', 'start-up', 'startup', 'social enterprise', 'incubator', 'entrepreneur', 'business model', 'business plan', 'articles of incorporation', 'wire transfer']"
10,Vehicle Loan,"['car', 'vehicle', 'automobile', 'dealership', 'rv', 'boat', 'camper', 'truck', 'preowned', 'pontoon', 'jet ski', 'dealer', 'houseboat', 'speedboat', 'watercraft', 'auto loan', 'motorcycle', 'bike', 'VIN', 'salvage', 'car payment', 'car payments', 'interest rate', 'new auto', 'new car', 'used auto', 'used car', 'recreational vehicle', 'trailer', 'motorhome', 'toy hauler', 'quad', 'atv']"
3,Fraud,"['fraud', 'fraudulent', 'steal', 'stole', 'stolen', 'thief', 'thieves', 'compromised', 'lost card', 'police', 'hacked', 'suspicious', 'hack', 'frozen', 'blocked', 'discrepancy', 'unauthorized', 'alert', 'fraud alert', 'card stolen', 'security', 'compromise', 'affidavit', 'police report', 'charges']"
9,Retirement Planning,"['retirement', 'retire', 'retiring', 'employee benefits', 'ERISA', '5500', '401k', '401 k', 'profit sharing', 'mutual funds', 'investments', 'financial planning', 'freedom years', 'golden years', 'senior citizen', 'senior discount', 'stop working', 'work less', 'life after work', 'rollover', 'IRA', 'Individual retirement account', 'roth', 'disbursement', 'RMD', 'downsize', 'downsizing', 'empty nest', 'empty nester', 'employee retirement', 'retirement plan', 'retirement account', 'benefits', 'human resources', 'plan administrator', 'plan participant']"
5,Cash Management,"['ACH', 'automated clearing house', 'CDARS', 'ICS', 'insured cash', 'lockbox', 'OED', 'onsite express deposit', 'positive pay', 'RDC', 'remote deposit capture', 'smart safe', 'sweep', 'virtual vault', 'x937', 'cash flow', 'merchant', 'POS', 'card reader', 'square', 'paypal', 'scanner', 'payroll', 'accounts payable', 'accounts receivable', 'token', 'merchant services', 'card services']"
12,Marital Status,"['marriage', 'married', 'wedding', 'tying the knot', 'tie the knot', 'merge accounts', 'merge our accounts', 'merge finances', 'merge our finances', 'honeymoon', 'newlywed', 'newlyweds', 'engaged', 'engagement', 'name change', 'change my name', 'maiden name', 'spouse', 'fiancee', 'fiance', 'divorce', 'divorced', 'separated', 'ex-husband', 'ex-wife', 'annulment', 'child support', 'alimony', 'custody', 'separation', 'co-parenting', 'newly single', 'divorcee', 'single mom', 'single parent', 'single dad', 'single mother', 'single father', 'separating', 'ex']"
7,Commercial Loans,"['504', '7a', 'aircraft', 'C&I', 'commercial and industrial', 'commercial real estate', 'CRE', 'construction', 'equipment', 'guidance line', 'investment real estate', 'letter of credit', 'LOC', 'SBA', 'small business administration', 'working capital', 'business loan', 'agricultural loan', 'airplane', 'plane', 'fleet', 'commercial broker', 'commercial loan', 'church loan', 'ag loan', 'sole proprietor', 'non-profit', 'LLC', 'c-corp', 's-corp', 'business partner', 'business owner', 'tennant', 'storefront', 'manufacturing', 'small business loan', 'guarantor', 'industry']"
46,Complaints,"['upset', 'angry', 'complaint', 'poor service', 'discrimination', 'profanity', 'legal action', 'harm', 'BBB', 'attorney general', 'consumer affairs', 'complaint department']"
15,Trust/Estate Planning,"['create a trust', 'set up a trust', 'trust fund', 'estate', 'heirs', 'tax shelter', 'tax avoidance', 'avoid taxes', 'trustee', 'trust attorney', 'fiduciary', 'beneficiaries', 'executor', 'guardianship', 'special needs trust', 'living will', 'trust powers', 'died', 'death', 'funeral', 'passed away', 'passed on', 'beneficiary', 'probate', 'net worth', 'personal balance sheet', 'personal financial statement', 'attorney', 'estate plan']"
14,Aging Parents,"['aging parents', 'nursing home', 'assisted living', 'independent living', 'SNF', 'ALF', 'ILF', 'nursing care', 'in-home care', 'memory care', 'alzheimers', 'dementia', 'adult day care', 'adult daycare', 'adult services', 'senior services', 'POA', 'power of attorney', 'dependent care', 'dependent']"
8,Credit Card,"['american express', 'amex', 'cash back', 'cashback', 'credit card', 'rewards', 'visa', 'credit cards', 'redeem points', 'earn points', 'balance transfer', 'cash advance', 'credit card payment', 'cardholder', 'lost card', 'mastercard', 'deactivated', 'deactivate', 'csv', 'csv number', 'declined', 'discover', 'pulse', 'Discover', 'Pulse', 'qualify', 'credit application', 'credit score', 'card holder', 'cardholder service', 'interest rate', 'business credit card', 'business credit cards']"
